idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,gt_label
0,0,2.0271046,20230217142545096,None,0,20,39,25,21,22,19,19,20,MapRecord[{gt_label=relax}]
1,0,2.037089,20230217142545106,None,0,20,39,25,21,22,19,19,20,MapRecord[{gt_label=relax}]
2,0,2.0471056,20230217142545116,None,0,20,39,25,21,22,19,19,20,MapRecord[{gt_label=relax}]
3,0,2.057096,20230217142545126,None,0,19,42,25,23,26,21,19,19,MapRecord[{gt_label=relax}]
4,0,2.0670812,20230217142545136,None,0,19,42,25,23,26,21,19,19,MapRecord[{gt_label=relax}]
5,0,2.0770936,20230217142545146,None,0,19,43,24,24,29,21,19,19,MapRecord[{gt_label=relax}]
6,0,2.0870836,20230217142545156,None,0,20,42,22,26,30,21,21,18,MapRecord[{gt_label=relax}]
7,0,2.0971162,20230217142545166,None,0,20,42,22,26,30,21,21,18,MapRecord[{gt_label=relax}]
8,0,2.1071107,20230217142545176,None,0,19,42,23,29,30,20,22,17,MapRecord[{gt_label=relax}]
9,0,2.117106,20230217142545186,None,0,19,42,23,29,30,20,22,17,MapRecord[{gt_label=relax}]
10,0,2.1271052,20230217142545196,None,0,19,42,23,29,30,20,22,17,MapRecord[{gt_label=relax}]
11,0,2.1370978,20230217142545206,None,0,21,41,23,30,31,21,23,16,MapRecord[{gt_label=relax}]
12,0,2.1471038,20230217142545216,None,0,21,26,23,28,27,19,23,16,MapRecord[{gt_label=relax}]
13,0,2.1570911,20230217142545226,None,0,21,26,23,28,27,19,23,16,MapRecord[{gt_label=relax}]
14,0,2.1671038,20230217142545236,None,0,21,26,23,28,27,19,23,16,MapRecord[{gt_label=relax}]
15,0,2.1770825,20230217142545246,None,0,22,40,24,26,28,19,23,17,MapRecord[{gt_label=relax}]
16,0,2.1870968,20230217142545256,None,0,22,40,24,26,28,19,23,17,MapRecord[{gt_label=relax}]
17,0,2.1971087,20230217142545266,None,0,20,41,23,26,32,18,21,18,MapRecord[{gt_label=relax}]
18,0,2.207113,20230217142545276,None,0,23,42,22,24,33,20,19,18,MapRecord[{gt_label=relax}]
19,0,2.2170863,20230217142545286,None,0,23,42,22,24,33,20,19,18,MapRecord[{gt_label=relax}]
20,0,2.2270813,20230217142545296,None,0,23,42,22,24,33,20,19,18,MapRecord[{gt_label=relax}]
21,0,2.2371209,20230217142545306,None,0,22,42,23,25,33,19,18,19,MapRecord[{gt_label=relax}]
22,0,2.2470903,20230217142545316,None,0,22,42,23,25,33,19,18,19,MapRecord[{gt_label=relax}]
23,0,2.2570796,20230217142545326,None,0,22,41,24,26,33,20,18,21,MapRecord[{gt_label=relax}]
24,0,2.2671037,20230217142545336,None,0,23,25,23,26,30,23,17,20,MapRecord[{gt_label=relax}]
25,0,2.277089,20230217142545346,None,0,23,25,23,26,30,23,17,20,MapRecord[{gt_label=relax}]
26,0,2.2871137,20230217142545356,None,0,23,25,23,26,30,23,17,20,MapRecord[{gt_label=relax}]
27,0,2.2970939,20230217142545366,None,0,22,29,23,26,29,23,18,21,MapRecord[{gt_label=relax}]
28,0,2.3070893,20230217142545376,None,0,22,29,23,26,29,23,18,21,MapRecord[{gt_label=relax}]
29,0,2.3170772,20230217142545386,None,0,21,41,24,28,27,23,18,21,MapRecord[{gt_label=relax}]
30,0,2.3270922,20230217142545396,None,0,20,41,25,29,29,23,18,20,MapRecord[{gt_label=relax}]
31,0,2.3370838,20230217142545406,None,0,20,41,25,29,29,23,18,20,MapRecord[{gt_label=relax}]
32,0,2.3470898,20230217142545416,None,0,20,41,25,29,29,23,18,20,MapRecord[{gt_label=relax}]
33,0,2.3571146,20230217142545426,None,0,20,42,25,31,30,22,20,19,MapRecord[{gt_label=relax}]
34,0,2.367092,20230217142545436,None,0,20,42,25,31,30,22,20,19,MapRecord[{gt_label=relax}]
35,0,2.3771007,20230217142545446,None,0,18,43,26,30,29,18,19,18,MapRecord[{gt_label=relax}]
36,0,2.3870957,20230217142545456,None,0,19,39,25,30,31,19,18,19,MapRecord[{gt_label=relax}]
37,0,2.3970966,20230217142545466,None,0,19,39,25,30,31,19,18,19,MapRecord[{gt_label=relax}]
38,0,2.4070942,20230217142545476,None,0,19,39,25,30,31,19,18,19,MapRecord[{gt_label=relax}]
39,0,2.4171395,20230217142545486,None,0,18,44,24,28,33,17,19,20,MapRecord[{gt_label=relax}]
40,0,2.427132,20230217142545496,None,0,18,44,24,28,33,17,19,20,MapRecord[{gt_label=relax}]
41,0,2.4371579,20230217142545506,None,0,18,43,22,27,32,18,19,20,MapRecord[{gt_label=relax}]
42,0,2.447163,20230217142545516,None,0,17,44,21,25,32,21,19,21,MapRecord[{gt_label=relax}]
43,0,2.4570858,20230217142545526,None,0,17,44,21,25,32,21,19,21,MapRecord[{gt_label=relax}]
44,0,2.467084,20230217142545536,None,0,17,44,21,25,32,21,19,21,MapRecord[{gt_label=relax}]
45,0,2.4770896,20230217142545546,None,0,20,45,20,25,33,22,19,20,MapRecord[{gt_label=relax}]
46,0,2.487081,20230217142545556,None,0,20,45,20,25,33,22,19,20,MapRecord[{gt_label=relax}]
47,0,2.4970982,20230217142545566,None,0,19,44,19,28,33,22,20,19,MapRecord[{gt_label=relax}]
48,0,2.5071068,20230217142545576,None,0,19,28,19,30,32,25,20,20,MapRecord[{gt_label=relax}]
49,0,2.5170846,20230217142545586,None,0,19,28,19,30,32,25,20,20,MapRecord[{gt_label=relax}]
