idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,gt_label
552,1,7.5470924,20230217142550616,None,0,22,36,22,29,36,22,18,20,MapRecord[{gt_label=open}]
553,1,7.557092,20230217142550626,None,0,22,36,22,29,36,22,18,20,MapRecord[{gt_label=open}]
554,1,7.567113,20230217142550636,None,0,24,36,21,30,38,22,16,20,MapRecord[{gt_label=open}]
555,1,7.5770965,20230217142550646,None,0,24,36,21,30,38,22,16,20,MapRecord[{gt_label=open}]
556,1,7.587086,20230217142550656,None,0,23,28,22,29,31,22,18,21,MapRecord[{gt_label=open}]
557,1,7.59708,20230217142550666,None,0,23,28,22,29,31,22,18,21,MapRecord[{gt_label=open}]
558,1,7.6071243,20230217142550676,None,0,22,26,22,32,32,23,19,19,MapRecord[{gt_label=open}]
559,1,7.6171136,20230217142550686,None,0,22,26,22,32,32,23,19,19,MapRecord[{gt_label=open}]
560,1,7.6271114,20230217142550696,None,0,22,34,20,34,35,24,20,21,MapRecord[{gt_label=open}]
561,1,7.637091,20230217142550706,None,0,22,34,20,34,35,24,20,21,MapRecord[{gt_label=open}]
562,1,7.647093,20230217142550716,None,0,19,32,21,33,33,22,20,20,MapRecord[{gt_label=open}]
563,1,7.657101,20230217142550726,None,0,19,32,21,33,33,22,20,20,MapRecord[{gt_label=open}]
564,1,7.667083,20230217142550736,None,0,17,31,22,35,39,23,22,20,MapRecord[{gt_label=open}]
565,1,7.6771016,20230217142550746,None,0,17,31,22,35,39,23,22,20,MapRecord[{gt_label=open}]
566,1,7.6870914,20230217142550756,None,0,15,32,22,35,41,21,21,19,MapRecord[{gt_label=open}]
567,1,7.6970987,20230217142550766,None,0,15,32,22,35,41,21,21,19,MapRecord[{gt_label=open}]
568,1,7.7071004,20230217142550776,None,0,16,32,21,33,40,19,22,19,MapRecord[{gt_label=open}]
569,1,7.7170954,20230217142550786,None,0,16,32,21,33,40,19,22,19,MapRecord[{gt_label=open}]
570,1,7.7271056,20230217142550796,None,0,18,24,21,34,39,21,21,19,MapRecord[{gt_label=open}]
571,1,7.7370806,20230217142550806,None,0,18,24,21,34,39,21,21,19,MapRecord[{gt_label=open}]
572,1,7.7470846,20230217142550816,None,0,19,27,21,37,39,22,21,18,MapRecord[{gt_label=open}]
573,1,7.757088,20230217142550826,None,0,19,27,21,37,39,22,21,18,MapRecord[{gt_label=open}]
574,1,7.7670965,20230217142550836,None,0,19,35,20,35,35,22,20,20,MapRecord[{gt_label=open}]
575,1,7.77709,20230217142550846,None,0,19,35,20,35,35,22,20,20,MapRecord[{gt_label=open}]
576,1,7.7870884,20230217142550856,None,0,21,35,20,34,33,25,20,20,MapRecord[{gt_label=open}]
577,1,7.797093,20230217142550866,None,0,21,35,20,34,33,25,20,20,MapRecord[{gt_label=open}]
578,1,7.807091,20230217142550876,None,0,20,35,19,34,35,25,21,20,MapRecord[{gt_label=open}]
579,1,7.8171,20230217142550886,None,0,20,35,19,34,35,25,21,20,MapRecord[{gt_label=open}]
580,1,7.8270917,20230217142550896,None,0,18,35,20,31,39,29,20,20,MapRecord[{gt_label=open}]
581,1,7.8370957,20230217142550906,None,0,18,35,20,31,39,29,20,20,MapRecord[{gt_label=open}]
582,1,7.847097,20230217142550916,None,0,18,33,21,28,39,28,20,19,MapRecord[{gt_label=open}]
583,1,7.8571053,20230217142550926,None,0,18,33,21,28,39,28,20,19,MapRecord[{gt_label=open}]
584,1,7.8670993,20230217142550936,None,0,18,25,23,30,38,27,21,17,MapRecord[{gt_label=open}]
585,1,7.877109,20230217142550946,None,0,18,25,23,30,38,27,21,17,MapRecord[{gt_label=open}]
586,1,7.8871026,20230217142550956,None,0,18,24,22,31,42,27,19,16,MapRecord[{gt_label=open}]
587,1,7.8971004,20230217142550966,None,0,18,24,22,31,42,27,19,16,MapRecord[{gt_label=open}]
588,1,7.907097,20230217142550976,None,0,18,41,23,32,39,25,22,15,MapRecord[{gt_label=open}]
589,1,7.917084,20230217142550986,None,0,18,41,23,32,39,25,22,15,MapRecord[{gt_label=open}]
590,1,7.9270897,20230217142550996,None,0,19,40,22,29,35,22,22,15,MapRecord[{gt_label=open}]
591,1,7.9371,20230217142551006,None,0,19,40,22,29,35,22,22,15,MapRecord[{gt_label=open}]
592,1,7.947105,20230217142551016,None,0,20,40,22,30,39,23,22,17,MapRecord[{gt_label=open}]
593,1,7.957084,20230217142551026,None,0,20,40,22,30,39,23,22,17,MapRecord[{gt_label=open}]
594,1,7.9671044,20230217142551036,None,0,18,42,20,34,40,23,20,17,MapRecord[{gt_label=open}]
595,1,7.9770956,20230217142551046,None,0,18,42,20,34,40,23,20,17,MapRecord[{gt_label=open}]
