idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
2000,2,22.025458098,20230217141158246,None,-1,142,372,565,229,294,151,133,235
2001,2,22.035439015,20230217141158256,None,-1,142,372,565,229,294,151,133,235
2002,2,22.045442581,20230217141158266,None,-1,138,360,452,206,284,141,126,226
2003,2,22.055449963,20230217141158276,None,-1,138,360,452,206,284,141,126,226
2004,2,22.065418005,20230217141158286,None,-1,126,321,357,186,232,135,115,220
2005,2,22.075499296,20230217141158296,None,-1,126,321,357,186,232,135,115,220
2006,2,22.085472107,20230217141158306,None,-1,135,272,321,183,175,148,109,209
2007,2,22.095458269,20230217141158316,None,-1,135,272,321,183,175,148,109,209
2008,0,22.105492592,20230217141158326,None,-1,139,249,272,185,137,131,92,187
2009,0,22.115512848,20230217141158336,None,-1,139,249,272,185,137,131,92,187
2010,0,22.125478983,20230217141158346,None,-1,135,227,243,195,134,115,99,185
2011,0,22.135438681,20230217141158356,None,-1,135,227,243,195,134,115,99,185
2012,0,22.145441532,20230217141158366,None,-1,127,253,247,183,136,112,91,165
2013,0,22.155438423,20230217141158376,None,-1,127,253,247,183,136,112,91,165
2014,0,22.165470839,20230217141158386,None,-1,117,221,235,188,134,115,83,101
2015,0,22.175444603,20230217141158396,None,-1,117,221,235,188,134,115,83,101
2016,0,22.185432673,20230217141158406,None,-1,100,230,233,176,126,68,96,105
2017,0,22.195445061,20230217141158416,None,-1,100,230,233,176,126,68,96,105
2018,0,22.205447912,20230217141158426,None,-1,88,229,244,177,141,66,95,166
2019,0,22.215466738,20230217141158436,None,-1,88,229,244,177,141,66,95,166
2020,0,22.225471974,20230217141158446,None,-1,78,206,235,182,135,73,99,164
2021,0,22.235486269,20230217141158456,None,-1,78,206,235,182,135,73,99,164
2022,0,22.245454311,20230217141158466,None,-1,77,151,231,175,133,74,98,183
2023,0,22.255450964,20230217141158476,None,-1,77,151,231,175,133,74,98,183
2024,0,22.265465498,20230217141158486,None,-1,95,193,210,176,132,76,101,199
2025,0,22.275481463,20230217141158496,None,-1,95,193,210,176,132,76,101,199
2026,0,22.285489082,20230217141158506,None,-1,92,188,230,199,156,98,85,196
2027,0,22.295443535,20230217141158516,None,-1,92,188,230,199,156,98,85,196
2028,0,22.305471897,20230217141158526,None,-1,90,191,244,214,154,103,100,148
2029,0,22.315463781,20230217141158536,None,-1,90,191,244,214,154,103,100,148
2030,0,22.325463295,20230217141158546,None,-1,99,212,246,196,150,104,87,205
2031,0,22.335455656,20230217141158556,None,-1,99,212,246,196,150,104,87,205
2032,0,22.345443487,20230217141158566,None,-1,98,218,256,199,151,105,100,205
2033,0,22.355444193,20230217141158576,None,-1,98,218,256,199,151,105,100,205
2034,0,22.365446091,20230217141158586,None,-1,71,182,247,183,149,98,99,186
2035,0,22.375468254,20230217141158596,None,-1,71,182,247,183,149,98,99,186
2036,0,22.385466576,20230217141158606,None,-1,69,194,233,151,117,74,101,186
2037,0,22.395448446,20230217141158616,None,-1,69,194,233,151,117,74,101,186
2038,0,22.405438423,20230217141158626,None,-1,68,209,213,144,112,100,93,187
2039,0,22.415439844,20230217141158636,None,-1,68,209,213,144,112,100,93,187
2040,0,22.425499678,20230217141158646,None,-1,60,203,206,151,123,108,101,126
2041,0,22.435455561,20230217141158656,None,-1,60,203,206,151,123,108,101,126
2042,0,22.445477486,20230217141158666,None,-1,60,203,191,141,121,107,87,104
2043,0,22.45544672,20230217141158676,None,-1,60,203,191,141,121,107,87,104
2044,0,22.465449095,20230217141158686,None,-1,58,211,207,148,118,106,101,100
2045,0,22.47544241,20230217141158696,None,-1,58,211,207,148,118,106,101,100
2046,0,22.485438109,20230217141158706,None,-1,58,178,206,147,120,105,97,98
2047,0,22.49545455,20230217141158716,None,-1,58,178,206,147,120,105,97,98
2048,0,22.505446434,20230217141158726,None,-1,54,163,208,121,109,73,92,95
2049,0,22.515455008,20230217141158736,None,-1,54,163,208,121,109,73,92,95
2050,0,22.525465489,20230217141158746,None,-1,44,187,209,123,96,59,84,86
2051,0,22.535473585,20230217141158756,None,-1,44,187,209,123,96,59,84,86
2052,0,22.545462847,20230217141158766,None,-1,37,178,203,133,123,60,81,74
2053,0,22.555458784,20230217141158776,None,-1,37,178,203,133,123,60,81,74
2054,0,22.565533161,20230217141158786,None,-1,41,176,181,122,124,71,60,77
2055,0,22.575501919,20230217141158796,None,-1,41,176,181,122,124,71,60,77
2056,0,22.585460186,20230217141158806,None,-1,56,179,148,123,123,73,96,86
2057,0,22.595450401,20230217141158816,None,-1,56,179,148,123,123,73,96,86
2058,0,22.605453968,20230217141158826,None,-1,55,180,117,119,119,67,97,79
2059,0,22.615471363,20230217141158836,None,-1,55,180,117,119,119,67,97,79
2060,0,22.625508785,20230217141158846,None,-1,55,138,149,103,121,60,97,80
2061,0,22.635519266,20230217141158856,None,-1,55,138,149,103,121,60,97,80
2062,0,22.645514727,20230217141158866,None,-1,54,136,167,119,98,57,99,82
2063,0,22.655490637,20230217141158876,None,-1,54,136,167,119,98,57,99,82
2064,0,22.665484667,20230217141158886,None,-1,58,131,187,129,101,39,96,77
2065,0,22.675520182,20230217141158896,None,-1,58,131,187,129,101,39,96,77
2066,0,22.685483217,20230217141158906,None,-1,58,131,187,129,101,39,96,77
2067,0,22.695507527,20230217141158916,None,-1,51,148,198,133,106,32,58,64
2068,0,22.705509901,20230217141158926,None,-1,51,162,213,139,110,31,45,65
2069,0,22.715522289,20230217141158936,None,-1,51,162,213,139,110,31,45,65
2070,0,22.725521088,20230217141158946,None,-1,51,156,187,154,117,25,91,76
2071,0,22.735519648,20230217141158956,None,-1,51,156,187,154,117,25,91,76
2072,0,22.745486021,20230217141158966,None,-1,51,159,249,133,112,35,91,67
2073,0,22.755468369,20230217141158976,None,-1,51,159,249,133,112,35,91,67
2074,0,22.765486241,20230217141158986,None,-1,42,153,234,119,113,38,93,68
2075,0,22.775472641,20230217141158996,None,-1,42,153,234,119,113,38,93,68
2076,0,22.785517693,20230217141159006,None,-1,31,148,224,112,114,40,95,67
2077,0,22.795522213,20230217141159016,None,-1,31,148,224,112,114,40,95,67
2078,0,22.80551362,20230217141159026,None,-1,35,128,201,101,111,39,97,70
2079,0,22.815473557,20230217141159036,None,-1,35,128,201,101,111,39,97,70
2080,0,22.825458527,20230217141159046,None,-1,32,132,212,70,93,40,54,55
2081,0,22.835563898,20230217141159056,None,-1,32,132,212,70,93,40,54,55
2082,0,22.845481873,20230217141159066,None,-1,31,128,108,74,92,30,78,53
2083,0,22.855519295,20230217141159076,None,-1,31,128,108,74,92,30,78,53
2084,0,22.865483523,20230217141159086,None,-1,34,140,147,69,83,26,76,60
2085,0,22.875518084,20230217141159096,None,-1,34,140,147,69,83,26,76,60
2086,0,22.88551712,20230217141159106,None,-1,38,128,162,66,68,25,77,60
2087,0,22.89554286,20230217141159116,None,-1,38,128,162,66,68,25,77,60
2088,0,22.905487538,20230217141159126,None,-1,36,138,183,68,62,25,79,60
2089,0,22.915459871,20230217141159136,None,-1,36,138,183,68,62,25,79,60
2090,0,22.925489903,20230217141159146,None,-1,44,149,178,60,63,25,78,60
2091,0,22.93552351,20230217141159156,None,-1,44,149,178,60,63,25,78,60
2092,0,22.945514917,20230217141159166,None,-1,45,158,178,51,61,27,51,63
2093,0,22.955470324,20230217141159176,None,-1,45,158,178,51,61,27,51,63
2094,0,22.965480566,20230217141159186,None,-1,43,156,150,52,53,28,49,60
2095,0,22.975515127,20230217141159196,None,-1,43,156,150,52,53,28,49,60
2096,0,22.985521793,20230217141159206,None,-1,40,150,131,47,47,27,42,70
