idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
1600,0,18.025452137,20230217141154246,None,-1,23,62,119,35,32,22,26,27
1601,0,18.03544569,20230217141154256,None,-1,25,72,133,35,31,22,28,26
1602,0,18.045466423,20230217141154266,None,-1,25,72,133,35,31,22,28,26
1603,0,18.055449009,20230217141154276,None,-1,25,74,141,38,32,21,28,31
1604,0,18.065455437,20230217141154286,None,-1,25,74,141,38,32,21,28,31
1605,0,18.07545352,20230217141154296,None,-1,23,83,147,38,34,21,28,29
1606,0,18.085453749,20230217141154306,None,-1,23,83,147,38,34,21,28,29
1607,0,18.095472813,20230217141154316,None,-1,22,75,143,36,33,19,24,30
1608,0,18.105456829,20230217141154326,None,-1,22,75,143,36,33,19,24,30
1609,0,18.115440846,20230217141154336,None,-1,24,85,142,31,27,20,20,29
1610,0,18.125451326,20230217141154346,None,-1,24,85,142,31,27,20,20,29
1611,0,18.135448694,20230217141154356,None,-1,23,81,121,32,28,20,19,32
1612,0,18.145462513,20230217141154366,None,-1,23,81,121,32,28,20,19,32
1613,0,18.155463457,20230217141154376,None,-1,23,79,121,34,33,22,25,28
1614,0,18.165448666,20230217141154386,None,-1,23,79,121,34,33,22,25,28
1615,0,18.175462723,20230217141154396,None,-1,21,71,136,33,33,21,28,29
1616,0,18.185462475,20230217141154406,None,-1,21,71,136,33,33,21,28,29
1617,0,18.195450306,20230217141154416,None,-1,24,74,124,34,34,21,31,29
1618,0,18.205438137,20230217141154426,None,-1,24,74,124,34,34,21,31,29
1619,0,18.215451479,20230217141154436,None,-1,25,69,130,32,36,20,31,28
1620,0,18.225452185,20230217141154446,None,-1,25,69,130,32,36,20,31,28
1621,0,18.235427141,20230217141154456,None,-1,28,65,156,36,39,18,32,25
1622,0,18.245453596,20230217141154466,None,-1,28,65,156,36,39,18,32,25
1623,0,18.255443096,20230217141154476,None,-1,30,74,148,32,35,18,28,25
1624,0,18.265447617,20230217141154486,None,-1,30,74,148,32,35,18,28,25
1625,0,18.275455952,20230217141154496,None,-1,33,74,128,32,35,17,27,28
1626,0,18.285436392,20230217141154506,None,-1,33,74,128,32,35,17,27,28
1627,0,18.295449495,20230217141154516,None,-1,33,97,135,29,36,18,26,28
1628,0,18.305462361,20230217141154526,None,-1,33,97,135,29,36,18,26,28
1629,0,18.315448523,20230217141154536,None,-1,31,116,129,29,33,18,26,29
1630,0,18.325471401,20230217141154546,None,-1,31,116,129,29,33,18,26,29
1631,0,18.335442782,20230217141154556,None,-1,27,128,142,27,32,20,26,29
1632,0,18.345442534,20230217141154566,None,-1,27,128,142,27,32,20,26,29
1633,0,18.355449438,20230217141154576,None,-1,25,123,142,28,30,22,26,31
1634,0,18.365459442,20230217141154586,None,-1,25,123,142,28,30,22,26,31
1635,0,18.375452519,20230217141154596,None,-1,24,125,142,33,29,23,24,29
1636,0,18.385457039,20230217141154606,None,-1,24,125,142,33,29,23,24,29
1637,0,18.395452023,20230217141154616,None,-1,22,109,134,33,25,23,22,28
1638,0,18.405453682,20230217141154626,None,-1,22,109,134,33,25,23,22,28
1639,0,18.415459871,20230217141154636,None,-1,22,88,138,33,26,24,25,29
1640,0,18.425449133,20230217141154646,None,-1,22,88,138,33,26,24,25,29
1641,0,18.435491324,20230217141154656,None,-1,25,80,135,31,25,23,25,32
1642,0,18.445468187,20230217141154666,None,-1,25,80,135,31,25,23,25,32
1643,0,18.455498219,20230217141154676,None,-1,24,87,137,30,24,21,26,29
1644,0,18.465506315,20230217141154686,None,-1,24,87,137,30,24,21,26,29
1645,0,18.475507736,20230217141154696,None,-1,22,86,141,25,23,20,26,27
1646,0,18.485467196,20230217141154706,None,-1,22,86,141,25,23,20,26,27
1647,0,18.495443106,20230217141154716,None,-1,24,84,150,32,31,19,26,27
1648,0,18.50543499,20230217141154726,None,-1,24,84,150,32,31,19,26,27
1649,0,18.515438318,20230217141154736,None,-1,26,83,149,31,32,19,23,30
1650,0,18.525447607,20230217141154746,None,-1,26,83,149,31,32,19,23,30
1651,0,18.535453797,20230217141154756,None,-1,24,98,165,33,31,21,24,28
1652,0,18.545455456,20230217141154766,None,-1,24,98,165,33,31,21,24,28
1653,0,18.55544591,20230217141154776,None,-1,25,97,170,34,33,21,24,28
1654,0,18.565435648,20230217141154786,None,-1,25,97,170,34,33,21,24,28
1655,0,18.575440884,20230217141154796,None,-1,27,98,183,35,36,24,27,31
1656,0,18.585437775,20230217141154806,None,-1,27,98,183,35,36,24,27,31
1657,0,18.595455885,20230217141154816,None,-1,26,98,189,29,31,24,28,30
1658,0,18.605445385,20230217141154826,None,-1,26,98,189,29,31,24,28,30
1659,0,18.615456342999998,20230217141154836,None,-1,27,99,232,28,31,23,28,27
1660,0,18.625461817,20230217141154846,None,-1,27,99,232,28,31,23,28,27
1661,0,18.635447264,20230217141154856,None,-1,27,99,232,28,31,23,28,27
1662,0,18.645456076,20230217141154866,None,-1,27,93,207,28,31,21,27,26
