idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
5200,2,54.025436163,20230217141230246,None,-1,46,129,255,91,107,49,29,95
5201,2,54.035449982,20230217141230256,None,-1,44,128,259,111,124,50,29,93
5202,2,54.045464039,20230217141230266,None,-1,47,131,240,113,142,38,30,97
5203,2,54.055444002,20230217141230276,None,-1,47,131,240,113,142,38,30,97
5204,2,54.065438032,20230217141230286,None,-1,47,131,240,113,142,38,30,97
5205,2,54.075452566,20230217141230296,None,-1,50,138,259,122,131,32,30,94
5206,2,54.085450173,20230217141230306,None,-1,50,138,259,122,131,32,30,94
5207,2,54.095441342,20230217141230316,None,-1,54,143,258,145,132,43,32,95
5208,2,54.105456352,20230217141230326,None,-1,53,118,253,153,138,45,35,108
5209,2,54.115447044,20230217141230336,None,-1,53,118,253,153,138,45,35,108
5210,2,54.125435591,20230217141230346,None,-1,53,118,253,153,138,45,35,108
5211,2,54.135434866,20230217141230356,None,-1,53,133,295,153,125,47,39,114
5212,2,54.145443201,20230217141230366,None,-1,53,133,295,153,125,47,39,114
5213,2,54.155495167,20230217141230376,None,-1,54,135,318,154,124,47,40,111
5214,2,54.165472746,20230217141230386,None,-1,54,123,285,163,136,49,40,113
5215,2,54.175496101,20230217141230396,None,-1,54,123,285,163,136,49,40,113
5216,2,54.185471058,20230217141230406,None,-1,54,123,285,163,136,49,40,113
5217,2,54.195496798,20230217141230416,None,-1,50,118,286,151,138,46,38,112
5218,2,54.205474615,20230217141230426,None,-1,50,118,286,151,138,46,38,112
5219,2,54.215443373,20230217141230436,None,-1,53,126,293,169,150,45,40,114
5220,2,54.225462198,20230217141230446,None,-1,52,111,284,175,164,45,37,100
5221,2,54.235451222,20230217141230456,None,-1,52,111,284,175,164,45,37,100
5222,2,54.245444775,20230217141230466,None,-1,52,111,284,175,164,45,37,100
5223,2,54.255470038,20230217141230476,None,-1,47,145,268,201,170,45,38,104
5224,2,54.265473604,20230217141230486,None,-1,47,145,268,201,170,45,38,104
5225,2,54.275449038,20230217141230496,None,-1,43,147,266,203,165,95,43,104
5226,2,54.285451174,20230217141230506,None,-1,42,150,263,203,174,95,45,104
5227,2,54.295451403,20230217141230516,None,-1,42,150,263,203,174,95,45,104
5228,2,54.305460215,20230217141230526,None,-1,42,150,263,203,174,95,45,104
5229,2,54.315448761,20230217141230536,None,-1,43,144,276,201,179,112,42,125
5230,2,54.325435639,20230217141230546,None,-1,43,144,276,201,179,112,42,125
5231,2,54.335445643,20230217141230556,None,-1,39,150,248,187,166,112,43,108
5232,2,54.345448256,20230217141230566,None,-1,40,124,243,164,153,123,43,104
