idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
3700,2,39.025458098,20230217141215246,None,-1,61,159,301,187,174,133,39,72
3701,2,39.035470724,20230217141215256,None,-1,61,163,294,219,193,119,46,70
3702,2,39.045458794,20230217141215266,None,-1,56,109,331,187,185,115,37,71
3703,2,39.055460692,20230217141215276,None,-1,56,109,331,187,185,115,37,71
3704,2,39.065453291,20230217141215286,None,-1,56,109,331,187,185,115,37,71
3705,2,39.075451851,20230217141215296,None,-1,55,194,337,185,176,104,45,71
3706,2,39.085439682,20230217141215306,None,-1,55,194,337,185,176,104,45,71
3707,2,39.095437288,20230217141215316,None,-1,59,198,314,203,197,103,44,68
3708,2,39.10543704,20230217141215326,None,-1,59,205,313,198,196,95,45,68
3709,2,39.115573168,20230217141215336,None,-1,59,205,313,198,196,95,45,68
3710,2,39.125475168,20230217141215346,None,-1,59,205,313,198,196,95,45,68
3711,2,39.13549757,20230217141215356,None,-1,53,230,289,174,170,82,35,72
3712,0,39.145528078,20230217141215366,None,-1,53,230,289,174,170,82,35,72
3713,0,39.155509472,20230217141215376,None,-1,51,239,195,189,183,74,37,66
3714,0,39.165505171,20230217141215386,None,-1,55,174,196,192,199,81,37,65
3715,0,39.175461531,20230217141215396,None,-1,55,174,196,192,199,81,37,65
3716,0,39.185495615,20230217141215406,None,-1,57,173,196,186,182,97,49,66
3717,0,39.195502758,20230217141215416,None,-1,57,173,196,186,182,97,49,66
3718,0,39.20550108,20230217141215426,None,-1,57,173,196,186,182,97,49,66
3719,0,39.215509415,20230217141215436,None,-1,56,172,221,189,172,101,49,65
3720,0,39.225507259,20230217141215446,None,-1,56,144,270,187,172,113,50,83
3721,0,39.235498905,20230217141215456,None,-1,56,144,270,187,172,113,50,83
3722,0,39.245503187,20230217141215466,None,-1,56,144,270,187,172,113,50,83
3723,0,39.255470038,20230217141215476,None,-1,60,156,271,183,167,114,51,85
3724,0,39.265493155,20230217141215486,None,-1,60,156,271,183,167,114,51,85
3725,0,39.275503874,20230217141215496,None,-1,56,162,342,188,150,107,47,80
3726,0,39.285502911,20230217141215506,None,-1,49,163,349,175,150,88,42,84
3727,0,39.295472622,20230217141215516,None,-1,49,163,349,175,150,88,42,84
3728,0,39.305493355,20230217141215526,None,-1,49,163,349,175,150,88,42,84
3729,0,39.315473795,20230217141215536,None,-1,48,193,344,166,150,112,48,83
3730,0,39.325459004,20230217141215546,None,-1,48,193,344,166,150,112,48,83
3731,0,39.335479021,20230217141215556,None,-1,43,182,302,154,146,97,49,76
3732,0,39.345452786,20230217141215566,None,-1,48,173,302,135,128,96,46,76
3733,0,39.355456829,20230217141215576,None,-1,48,173,302,135,128,96,46,76
3734,0,39.365497112,20230217141215586,None,-1,56,177,208,133,139,101,49,77
3735,0,39.375502586,20230217141215596,None,-1,56,177,208,133,139,101,49,77
3736,0,39.385477781,20230217141215606,None,-1,56,177,208,133,139,101,49,77
3737,0,39.395459652,20230217141215616,None,-1,57,176,258,145,138,104,43,74
3738,0,39.405463934,20230217141215626,None,-1,58,150,287,149,153,69,47,76
3739,0,39.415494919,20230217141215636,None,-1,58,150,287,149,153,69,47,76
3740,0,39.425462484,20230217141215646,None,-1,56,154,290,159,151,63,47,52
3741,0,39.435507059,20230217141215656,None,-1,56,154,290,159,151,63,47,52
3742,0,39.445503235,20230217141215666,None,-1,56,154,290,159,151,63,47,52
3743,0,39.45547843,20230217141215676,None,-1,55,150,326,145,146,62,51,75
3744,0,39.4655087,20230217141215686,None,-1,55,150,326,145,146,62,51,75
3745,0,39.475503206,20230217141215696,None,-1,50,149,328,126,128,60,48,75
3746,0,39.485477448,20230217141215706,None,-1,50,149,328,126,128,60,48,75
3747,0,39.495503187,20230217141215716,None,-1,49,156,278,112,118,65,47,73
3748,0,39.505503178,20230217141215726,None,-1,49,156,278,112,118,65,47,73
3749,0,39.515505076,20230217141215736,None,-1,49,172,250,101,108,66,38,71
3750,0,39.525475264,20230217141215746,None,-1,49,172,250,101,108,66,38,71
3751,0,39.535490751,20230217141215756,None,-1,49,170,240,79,122,66,41,71
3752,0,39.54550767,20230217141215766,None,-1,53,176,180,88,130,97,37,68
3753,0,39.55547595,20230217141215776,None,-1,53,176,180,88,130,97,37,68
3754,0,39.565457583,20230217141215786,None,-1,53,176,180,88,130,97,37,68
3755,0,39.575490475,20230217141215796,None,-1,62,222,183,98,132,97,44,71
3756,0,39.585504532,20230217141215806,None,-1,62,222,183,98,132,97,44,71
3757,0,39.595500708,20230217141215816,None,-1,62,211,198,114,137,96,44,70
3758,0,39.605474234,20230217141215826,None,-1,62,211,198,114,137,96,44,70
3759,0,39.615445614,20230217141215836,None,-1,65,196,189,111,140,102,44,76
3760,0,39.62545085,20230217141215846,None,-1,65,196,189,111,140,102,44,76
3761,0,39.635462999,20230217141215856,None,-1,65,196,244,106,126,111,41,76
3762,0,39.645448923000004,20230217141215866,None,-1,65,196,244,106,126,111,41,76
3763,0,39.655442715,20230217141215876,None,-1,56,198,257,115,129,87,41,69
3764,0,39.665442705,20230217141215886,None,-1,56,198,257,115,129,87,41,69
3765,0,39.675455809,20230217141215896,None,-1,50,157,247,127,128,81,34,69
3766,0,39.685456276,20230217141215906,None,-1,50,157,247,127,128,81,34,69
3767,0,39.695446015,20230217141215916,None,-1,49,166,238,113,123,73,48,69
3768,0,39.705455303,20230217141215926,None,-1,49,166,238,113,123,73,48,69
3769,0,39.71544981,20230217141215936,None,-1,45,154,223,120,104,66,49,66
3770,0,39.72545147,20230217141215946,None,-1,45,155,150,125,97,52,51,68
3771,0,39.735445738,20230217141215956,None,-1,45,155,150,125,97,52,51,68
3772,0,39.745434523,20230217141215966,None,-1,45,155,150,125,97,52,51,68
3773,0,39.755438089,20230217141215976,None,-1,43,140,137,122,97,51,51,50
3774,0,39.76545167,20230217141215986,None,-1,43,140,137,122,97,51,51,50
3775,0,39.775439978,20230217141215996,None,-1,37,128,145,107,104,59,50,55
3776,0,39.785455227,20230217141216006,None,-1,48,136,184,102,107,61,38,62
3777,0,39.795470238,20230217141216016,None,-1,48,136,184,102,107,61,38,62
3778,0,39.805443287,20230217141216026,None,-1,48,136,184,102,107,61,38,62
3779,0,39.815450907,20230217141216036,None,-1,47,145,209,117,108,55,44,58
3780,0,39.825444222,20230217141216046,None,-1,47,145,209,117,108,55,44,58
3781,0,39.835447788,20230217141216056,None,-1,45,155,244,121,117,52,44,58
3782,0,39.845452786,20230217141216066,None,-1,45,155,244,121,117,52,44,58
3783,0,39.855490208,20230217141216076,None,-1,45,167,243,115,117,59,42,60
