idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
5600,0,58.025492191,20230217141234246,None,-1,58,212,311,145,131,40,37,82
5601,0,58.035467863,20230217141234256,None,-1,60,220,267,168,155,44,35,79
5602,0,58.045513868,20230217141234266,None,-1,60,220,267,168,155,44,35,79
5603,0,58.055474997,20230217141234276,None,-1,60,220,267,168,155,44,35,79
5604,0,58.065498352,20230217141234286,None,-1,67,238,285,172,141,47,36,75
5605,0,58.07551527,20230217141234296,None,-1,67,238,285,172,141,47,36,75
5606,0,58.085473538,20230217141234306,None,-1,68,248,296,157,148,53,26,68
5607,0,58.095475197,20230217141234316,None,-1,70,218,270,159,152,52,22,75
5608,0,58.105498076,20230217141234326,None,-1,70,218,270,159,152,52,22,75
5609,0,58.115465403,20230217141234336,None,-1,70,218,270,159,152,52,22,75
5610,0,58.125471592,20230217141234346,None,-1,66,206,268,160,144,46,22,59
5611,0,58.135448456,20230217141234356,None,-1,66,206,268,160,144,46,22,59
5612,0,58.145516873,20230217141234366,None,-1,60,240,256,127,118,43,29,78
5613,0,58.155462504,20230217141234376,None,-1,55,220,247,110,117,40,44,81
5614,0,58.165474892,20230217141234386,None,-1,55,220,247,110,117,40,44,81
5615,0,58.175459862,20230217141234396,None,-1,55,220,247,110,117,40,44,81
5616,0,58.185506821,20230217141234406,None,-1,58,203,218,108,89,33,47,81
5617,0,58.195498228,20230217141234416,None,-1,58,203,218,108,89,33,47,81
5618,0,58.205492258,20230217141234426,None,-1,55,204,211,104,83,32,47,75
5619,0,58.215469837,20230217141234436,None,-1,58,198,205,97,98,28,48,72
5620,0,58.225462914,20230217141234446,None,-1,58,198,205,97,98,28,48,72
5621,0,58.235460997,20230217141234456,None,-1,58,198,205,97,98,28,48,72
5622,0,58.245461464,20230217141234466,None,-1,63,139,213,98,107,37,44,41
5623,0,58.255504847,20230217141234476,None,-1,63,139,213,98,107,37,44,41
5624,0,58.265479803,20230217141234486,None,-1,65,141,193,103,130,46,29,45
5625,0,58.275467396,20230217141234496,None,-1,65,141,193,103,130,46,29,45
5626,0,58.285473347,20230217141234506,None,-1,59,142,204,104,135,47,27,48
5627,0,58.295454264,20230217141234516,None,-1,59,142,204,104,135,47,27,48
5628,0,58.305458546,20230217141234526,None,-1,60,172,215,103,130,49,25,46
5629,0,58.315449238,20230217141234536,None,-1,60,172,215,103,130,49,25,46
5630,0,58.325474501,20230217141234546,None,-1,62,182,282,109,128,51,39,45
5631,0,58.335467339,20230217141234556,None,-1,62,182,282,109,128,51,39,45
5632,0,58.345484257,20230217141234566,None,-1,60,191,273,110,124,45,42,49
5633,0,58.355482817,20230217141234576,None,-1,60,191,273,110,124,45,42,49
5634,0,58.36544466,20230217141234586,None,-1,69,198,284,115,95,36,42,40
5635,0,58.375454903,20230217141234596,None,-1,69,198,284,115,95,36,42,40
5636,0,58.385448218,20230217141234606,None,-1,72,204,268,109,90,36,41,67
5637,0,58.395452261,20230217141234616,None,-1,72,204,268,109,90,36,41,67
5638,0,58.405461311,20230217141234626,None,-1,71,177,293,120,118,44,42,72
5639,0,58.415448666,20230217141234636,None,-1,71,177,293,120,118,44,42,72
5640,0,58.425435543,20230217141234646,None,-1,70,177,223,135,132,46,32,77
5641,0,58.435492039,20230217141234656,None,-1,70,177,223,135,132,46,32,77
5642,0,58.445499897,20230217141234666,None,-1,76,165,252,147,141,49,29,81
5643,0,58.455502749,20230217141234676,None,-1,76,165,252,147,141,49,29,81
5644,0,58.465471029,20230217141234686,None,-1,65,177,238,141,142,49,28,83
5645,0,58.475468636,20230217141234696,None,-1,65,177,238,141,142,49,28,83
5646,0,58.485461474,20230217141234706,None,-1,63,184,284,148,154,48,28,71
5647,0,58.495495319,20230217141234716,None,-1,63,184,284,148,154,48,28,71
5648,0,58.505500555,20230217141234726,None,-1,66,196,246,143,139,38,28,72
5649,0,58.515480042,20230217141234736,None,-1,66,196,246,143,139,38,28,72
5650,0,58.52546072,20230217141234746,None,-1,68,198,245,128,134,34,26,70
5651,0,58.535470724,20230217141234756,None,-1,68,198,245,128,134,34,26,70
5652,0,58.545468569,20230217141234766,None,-1,57,202,245,109,126,34,24,67
5653,0,58.555504799,20230217141234776,None,-1,57,202,245,109,126,34,24,67
5654,0,58.565474033,20230217141234786,None,-1,58,180,260,109,124,34,23,66
5655,0,58.575502873,20230217141234796,None,-1,58,180,260,109,124,34,23,66
5656,0,58.585510016,20230217141234806,None,-1,53,164,211,92,111,33,33,55
5657,0,58.595483542,20230217141234816,None,-1,53,164,211,92,111,33,33,55
5658,0,58.605453253,20230217141234826,None,-1,46,150,225,72,113,45,35,54
5659,0,58.615468502,20230217141234836,None,-1,46,150,225,72,113,45,35,54
5660,0,58.625450134,20230217141234846,None,-1,39,154,223,75,106,44,35,50
5661,0,58.635452271,20230217141234856,None,-1,39,154,223,75,106,44,35,50
5662,0,58.645452023,20230217141234866,None,-1,41,201,205,78,113,44,35,47
5663,0,58.655445814,20230217141234876,None,-1,41,201,205,78,113,44,35,47
5664,0,58.665456534,20230217141234886,None,-1,40,211,190,73,123,44,36,47
5665,0,58.675458193,20230217141234896,None,-1,40,211,190,73,123,44,36,47
5666,0,58.68545866,20230217141234906,None,-1,42,209,265,84,126,45,24,46
5667,0,58.695456505,20230217141234916,None,-1,42,209,265,84,126,45,24,46
5668,0,58.705456019,20230217141234926,None,-1,46,198,261,91,126,37,24,49
5669,0,58.715443611,20230217141234936,None,-1,46,198,261,91,126,37,24,49
5670,0,58.725454092,20230217141234946,None,-1,52,210,261,83,123,36,26,54
5671,0,58.735454321,20230217141234956,None,-1,52,210,261,83,123,36,26,54
5672,0,58.745447874,20230217141234966,None,-1,52,158,247,90,122,35,35,56
5673,0,58.75545001,20230217141234976,None,-1,52,158,247,90,122,35,35,56
5674,0,58.765449762,20230217141234986,None,-1,52,139,244,83,114,44,40,56
5675,0,58.775439978,20230217141234996,None,-1,52,139,244,83,114,44,40,56
5676,0,58.785445213,20230217141235006,None,-1,52,143,166,77,111,48,44,58
5677,0,58.79547143,20230217141235016,None,-1,52,143,166,77,111,48,44,58
5678,0,58.805456162,20230217141235026,None,-1,53,154,157,82,127,46,44,46
5679,0,58.815446615,20230217141235036,None,-1,53,154,157,82,127,46,44,46
