idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4600,1,48.025466204,20230217141224246,None,-1,49,198,285,145,102,34,34,116
4601,1,48.035494805,20230217141224256,None,-1,54,180,276,142,107,35,36,115
4602,1,48.045460224,20230217141224266,None,-1,54,180,276,142,107,35,36,115
4603,1,48.055491924,20230217141224276,None,-1,53,172,281,136,107,37,37,114
4604,1,48.065471649,20230217141224286,None,-1,53,172,281,136,107,37,37,114
4605,1,48.075463057,20230217141224296,None,-1,44,150,284,147,97,35,39,111
4606,1,48.085490942,20230217141224306,None,-1,44,150,284,147,97,35,39,111
4607,1,48.09552455,20230217141224316,None,-1,45,172,325,135,100,36,40,120
4608,1,48.10550642,20230217141224326,None,-1,45,172,325,135,100,36,40,120
4609,1,48.115466118,20230217141224336,None,-1,43,157,334,120,107,33,35,114
4610,1,48.125468731,20230217141224346,None,-1,43,157,334,120,107,33,35,114
4611,1,48.135457993,20230217141224356,None,-1,43,153,328,129,102,31,35,118
4612,1,48.145503998,20230217141224366,None,-1,43,153,328,129,102,31,35,118
4613,1,48.155523777,20230217141224376,None,-1,42,161,312,134,110,28,34,118
4614,1,48.165472746,20230217141224386,None,-1,42,161,312,134,110,28,34,118
4615,1,48.175522328,20230217141224396,None,-1,42,165,342,126,112,28,33,118
4616,1,48.185470104,20230217141224406,None,-1,42,165,342,126,112,28,33,118
4617,1,48.19549799,20230217141224416,None,-1,45,144,308,140,125,28,35,110
4618,1,48.205501557,20230217141224426,None,-1,45,144,308,140,125,28,35,110
4619,0,48.215473175,20230217141224436,None,-1,45,154,294,143,124,27,34,121
4620,0,48.225495577,20230217141224446,None,-1,45,154,294,143,124,27,34,121
4621,0,48.235490322,20230217141224456,None,-1,37,161,347,136,125,28,32,118
4622,0,48.245482206,20230217141224466,None,-1,37,161,347,136,125,28,32,118
4623,0,48.255491495,20230217141224476,None,-1,41,158,350,134,112,29,31,120
4624,0,48.265544415,20230217141224486,None,-1,41,158,350,134,112,29,31,120
4625,0,48.275478125,20230217141224496,None,-1,39,157,317,112,109,31,32,122
4626,0,48.285506249,20230217141224506,None,-1,39,157,317,112,109,31,32,122
4627,0,48.295512915,20230217141224516,None,-1,35,150,337,90,86,28,27,121
4628,0,48.305471897,20230217141224526,None,-1,35,150,337,90,86,28,27,121
4629,0,48.315498829,20230217141224536,None,-1,34,141,337,89,80,29,34,85
4630,0,48.325464726,20230217141224546,None,-1,34,141,337,89,80,29,34,85
4631,0,48.335462332,20230217141224556,None,-1,34,139,316,106,76,28,34,114
4632,0,48.34549284,20230217141224566,None,-1,34,139,316,106,76,28,34,114
4633,0,48.355504036,20230217141224576,None,-1,33,139,319,118,78,27,33,116
4634,0,48.365472078,20230217141224586,None,-1,33,139,319,118,78,27,33,116
4635,0,48.37549901,20230217141224596,None,-1,37,141,320,112,74,26,37,116
4636,0,48.385464668,20230217141224606,None,-1,37,141,320,112,74,26,37,116
4637,0,48.395455361,20230217141224616,None,-1,35,141,325,114,72,27,39,117
4638,0,48.405493736,20230217141224626,None,-1,35,141,325,114,72,27,39,117
4639,0,48.415502072,20230217141224636,None,-1,39,142,338,128,89,25,31,99
4640,0,48.425502062,20230217141224646,None,-1,39,142,338,128,89,25,31,99
4641,0,48.435507059,20230217141224656,None,-1,43,147,306,115,92,25,37,113
4642,0,48.445466519,20230217141224666,None,-1,43,147,306,115,92,25,37,113
4643,0,48.455462217,20230217141224676,None,-1,38,137,321,109,88,23,37,110
4644,0,48.465466976,20230217141224686,None,-1,38,137,321,109,88,23,37,110
