idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
5500,0,57.025446653,20230217141233246,None,-1,175,448,503,288,355,438,119,178
5501,0,57.035444975,20230217141233256,None,-1,175,448,503,288,355,438,119,178
5502,0,57.045467377,20230217141233266,None,-1,172,427,491,301,348,371,111,226
5503,0,57.055462122,20230217141233276,None,-1,170,345,393,330,370,357,109,195
5504,0,57.065464258,20230217141233286,None,-1,170,345,393,330,370,357,109,195
5505,0,57.07546854,20230217141233296,None,-1,163,387,415,311,375,356,103,201
5506,0,57.085482121,20230217141233306,None,-1,163,387,415,311,375,356,103,201
5507,0,57.09546876,20230217141233316,None,-1,163,387,415,311,375,356,103,201
5508,0,57.105461836,20230217141233326,None,-1,116,382,359,298,337,352,83,197
5509,0,57.115447521,20230217141233336,None,-1,168,409,402,295,251,178,95,194
5510,0,57.12545681,20230217141233346,None,-1,168,409,402,295,251,178,95,194
5511,0,57.13545084,20230217141233356,None,-1,168,386,389,280,253,174,98,147
5512,0,57.145437956,20230217141233366,None,-1,168,386,389,280,253,174,98,147
5513,0,57.155441761,20230217141233376,None,-1,168,386,389,280,253,174,98,147
5514,0,57.165451288,20230217141233386,None,-1,172,375,397,225,201,158,100,194
5515,0,57.175456524,20230217141233396,None,-1,161,313,340,209,157,137,101,195
5516,0,57.185481548,20230217141233406,None,-1,161,313,340,209,157,137,101,195
5517,0,57.195457697,20230217141233416,None,-1,164,328,343,201,174,121,97,204
5518,0,57.205445528,20230217141233426,None,-1,164,328,343,201,174,121,97,204
5519,0,57.215447903,20230217141233436,None,-1,164,328,343,201,174,121,97,204
5520,0,57.225438595,20230217141233446,None,-1,107,254,324,196,186,114,68,207
5521,0,57.23545742,20230217141233456,None,-1,99,243,335,200,171,102,54,192
5522,0,57.245490551,20230217141233466,None,-1,99,243,335,200,171,102,54,192
5523,0,57.255473614,20230217141233476,None,-1,92,225,358,221,195,82,48,130
5524,0,57.265470266,20230217141233486,None,-1,92,225,358,221,195,82,48,130
5525,0,57.275470495,20230217141233496,None,-1,92,225,358,221,195,82,48,130
5526,0,57.285455942,20230217141233506,None,-1,94,214,355,201,213,72,79,112
5527,0,57.295455456,20230217141233516,None,-1,86,158,354,187,198,71,79,123
5528,0,57.305471182,20230217141233526,None,-1,86,158,354,187,198,71,79,123
5529,0,57.315467119,20230217141233536,None,-1,89,203,362,196,185,93,80,158
5530,0,57.325488567,20230217141233546,None,-1,89,203,362,196,185,93,80,158
5531,0,57.335452318,20230217141233556,None,-1,89,203,362,196,185,93,80,158
5532,0,57.345458746,20230217141233566,None,-1,80,198,360,202,198,95,79,164
5533,0,57.355450869,20230217141233576,None,-1,78,222,358,191,171,84,78,168
5534,0,57.365478992999996,20230217141233586,None,-1,78,222,358,191,171,84,78,168
5535,0,57.375458479,20230217141233596,None,-1,77,239,349,204,153,93,43,167
5536,0,57.385467291,20230217141233606,None,-1,77,239,349,204,153,93,43,167
5537,0,57.395451069,20230217141233616,None,-1,77,239,349,204,153,93,43,167
5538,0,57.405461311,20230217141233626,None,-1,83,246,347,207,150,93,53,163
5539,0,57.415494919,20230217141233636,None,-1,83,246,347,207,150,93,53,163
5540,0,57.425467014,20230217141233646,None,-1,70,214,311,205,177,69,114,148
5541,0,57.435463667,20230217141233656,None,-1,79,243,321,197,152,66,118,175
5542,0,57.445503712,20230217141233666,None,-1,79,243,321,197,152,66,118,175
5543,0,57.455500126,20230217141233676,None,-1,79,243,321,197,152,66,118,175
5544,0,57.46548605,20230217141233686,None,-1,81,239,290,228,228,104,121,184
5545,0,57.475453615,20230217141233696,None,-1,81,239,290,228,228,104,121,184
5546,0,57.485456705,20230217141233706,None,-1,83,240,318,220,229,96,123,188
5547,0,57.49546361,20230217141233716,None,-1,76,229,300,218,235,96,120,176
5548,0,57.505450964,20230217141233726,None,-1,76,229,300,218,235,96,120,176
5549,0,57.515435219,20230217141233736,None,-1,76,229,300,218,235,96,120,176
5550,0,57.525434494,20230217141233746,None,-1,77,228,303,195,210,99,63,154
5551,0,57.535442591,20230217141233756,None,-1,77,228,303,195,210,99,63,154
5552,0,57.545437575,20230217141233766,None,-1,77,228,303,195,210,99,63,154
5553,0,57.555457115,20230217141233776,None,-1,66,221,262,133,135,74,53,88
5554,0,57.56545043,20230217141233786,None,-1,66,221,262,133,135,74,53,88
5555,0,57.57543993,20230217141233796,None,-1,66,221,262,133,135,74,53,88
5556,0,57.585447788,20230217141233806,None,-1,65,209,234,134,139,68,52,81
5557,0,57.595466614,20230217141233816,None,-1,65,209,234,134,139,68,52,81
5558,0,57.605452538,20230217141233826,None,-1,65,217,247,158,141,67,69,72
5559,0,57.615441561,20230217141233836,None,-1,65,225,242,147,144,62,83,80
5560,0,57.625461578,20230217141233846,None,-1,65,225,242,147,144,62,83,80
5561,0,57.635437012,20230217141233856,None,-1,65,225,242,147,144,62,83,80
5562,0,57.645445109,20230217141233866,None,-1,65,199,239,150,133,45,88,74
5563,0,57.655457258,20230217141233876,None,-1,65,199,239,150,133,45,88,74
5564,0,57.665443182,20230217141233886,None,-1,63,188,340,149,133,36,85,76
5565,0,57.675451279,20230217141233896,None,-1,64,206,332,148,117,34,84,70
5566,0,57.685446501,20230217141233906,None,-1,64,206,332,148,117,34,84,70
5567,0,57.695435524,20230217141233916,None,-1,64,206,332,148,117,34,84,70
5568,0,57.705444813,20230217141233926,None,-1,62,209,376,125,103,33,68,87
5569,0,57.715470314,20230217141233936,None,-1,62,209,376,125,103,33,68,87
5570,0,57.725470305,20230217141233946,None,-1,58,205,378,122,95,32,47,82
5571,0,57.735468388,20230217141233956,None,-1,56,211,376,113,99,47,36,83
5572,0,57.745458841,20230217141233966,None,-1,56,211,376,113,99,47,36,83
5573,0,57.755441666,20230217141233976,None,-1,56,211,376,113,99,47,36,83
5574,0,57.765438557,20230217141233986,None,-1,55,244,302,111,118,49,30,80
5575,0,57.775486708,20230217141233996,None,-1,55,244,302,111,118,49,30,80
5576,0,57.785506725,20230217141234006,None,-1,49,242,318,110,120,52,38,79
5577,0,57.795461655,20230217141234016,None,-1,53,232,274,105,112,52,37,57
5578,0,57.805477619,20230217141234026,None,-1,53,232,274,105,112,52,37,57
5579,0,57.815437317,20230217141234036,None,-1,53,232,274,105,112,52,37,57
5580,0,57.825439453,20230217141234046,None,-1,55,240,265,110,114,52,38,55
5581,0,57.835456133,20230217141234056,None,-1,55,240,265,110,114,52,38,55
5582,0,57.845446825,20230217141234066,None,-1,58,252,281,131,124,39,40,53
5583,0,57.855496168,20230217141234076,None,-1,63,210,271,152,142,38,41,52
5584,0,57.865510464,20230217141234086,None,-1,63,210,271,152,142,38,41,52
5585,0,57.875499249,20230217141234096,None,-1,63,210,271,152,142,38,41,52
5586,0,57.885492563,20230217141234106,None,-1,62,184,271,181,166,38,33,54
5587,0,57.895473242,20230217141234116,None,-1,62,184,271,181,166,38,33,54
5588,0,57.905443907,20230217141234126,None,-1,62,194,255,185,173,39,31,71
5589,0,57.915461064,20230217141234136,None,-1,60,204,268,185,177,40,29,68
5590,0,57.925462961,20230217141234146,None,-1,60,204,268,185,177,40,29,68
5591,0,57.935462237,20230217141234156,None,-1,60,204,268,185,177,40,29,68
5592,0,57.945496798,20230217141234166,None,-1,62,185,303,175,166,39,27,77
5593,0,57.955468416,20230217141234176,None,-1,62,185,303,175,166,39,27,77
5594,0,57.965457916,20230217141234186,None,-1,53,195,301,165,151,35,26,79
5595,0,57.975510121,20230217141234196,None,-1,55,200,281,146,137,31,34,84
5596,0,57.98547411,20230217141234206,None,-1,55,200,281,146,137,31,34,84
5597,0,57.995456934,20230217141234216,None,-1,55,200,281,146,137,31,34,84
5598,0,58.005494118,20230217141234226,None,-1,52,226,308,144,132,33,37,68
5599,0,58.015465737,20230217141234236,None,-1,52,226,308,144,132,33,37,68
