idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
5800,0,60.025449276,20230217141236246,None,-1,67,137,129,59,73,35,38,44
5801,0,60.035459519,20230217141236256,None,-1,67,137,129,59,73,35,38,44
5802,0,60.045455694,20230217141236266,None,-1,73,134,131,57,76,44,38,40
5803,0,60.055444718,20230217141236276,None,-1,73,134,131,57,76,44,38,40
5804,0,60.065462589,20230217141236286,None,-1,73,128,120,55,74,47,40,37
5805,0,60.075465918,20230217141236296,None,-1,73,128,120,55,74,47,40,37
5806,0,60.085443497,20230217141236306,None,-1,75,136,107,62,75,45,39,38
5807,0,60.095438004,20230217141236316,None,-1,75,136,107,62,75,45,39,38
5808,0,60.105456114,20230217141236326,None,-1,80,115,99,63,78,45,31,37
5809,0,60.115468979,20230217141236336,None,-1,80,115,99,63,78,45,31,37
5810,0,60.125454426,20230217141236346,None,-1,79,108,97,68,76,41,29,37
5811,0,60.135490179,20230217141236356,None,-1,79,108,97,68,76,41,29,37
5812,0,60.145474672,20230217141236366,None,-1,76,141,121,69,75,32,39,38
5813,0,60.155493736,20230217141236376,None,-1,76,141,121,69,75,32,39,38
5814,0,60.165464401,20230217141236386,None,-1,69,145,127,79,69,26,40,35
5815,0,60.175437451,20230217141236396,None,-1,69,145,127,79,69,26,40,35
5816,0,60.185467005,20230217141236406,None,-1,69,145,127,79,69,26,40,35
5817,0,60.195442915,20230217141236416,None,-1,80,147,102,83,90,43,39,34
5818,0,60.205455303,20230217141236426,None,-1,87,151,99,83,92,45,42,40
5819,0,60.215463638,20230217141236436,None,-1,87,151,99,83,92,45,42,40
5820,0,60.225457907,20230217141236446,None,-1,92,144,96,79,90,46,44,38
5821,0,60.235460281,20230217141236456,None,-1,92,144,96,79,90,46,44,38
5822,0,60.245456219,20230217141236466,None,-1,92,144,96,79,90,46,44,38
