idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,2.025468826,20230217141138246,None,-1,35,132,72,49,38,22,41,84
1,0,2.035473347,20230217141138256,None,-1,31,138,106,51,38,23,41,85
2,0,2.045469284,20230217141138266,None,-1,33,143,108,53,39,23,40,76
3,0,2.055466175,20230217141138276,None,-1,33,143,108,53,39,23,40,76
4,0,2.065468788,20230217141138286,None,-1,33,143,108,53,39,23,40,76
5,0,2.075451613,20230217141138296,None,-1,32,147,115,41,34,23,38,81
6,0,2.085492134,20230217141138306,None,-1,32,147,115,41,34,23,38,81
7,0,2.095467806,20230217141138316,None,-1,35,129,112,38,31,22,40,81
8,0,2.10551548,20230217141138326,None,-1,34,147,120,44,31,23,38,83
9,0,2.115454435,20230217141138336,None,-1,34,147,120,44,31,23,38,83
10,0,2.12546134,20230217141138346,None,-1,34,147,120,44,31,23,38,83
11,0,2.135444641,20230217141138356,None,-1,34,147,120,44,31,23,38,83
12,0,2.145461559,20230217141138366,None,-1,36,142,102,41,30,23,38,84
13,0,2.155467749,20230217141138376,None,-1,38,145,105,40,27,22,35,64
14,0,2.165456772,20230217141138386,None,-1,38,145,105,40,27,22,35,64
15,0,2.175449371,20230217141138396,None,-1,35,140,102,40,31,24,37,79
16,0,2.185443163,20230217141138406,None,-1,35,140,102,40,31,24,37,79
17,0,2.195453167,20230217141138416,None,-1,37,142,104,44,33,23,36,83
18,0,2.205452681,20230217141138426,None,-1,37,142,104,44,33,23,36,83
19,0,2.215456247,20230217141138436,None,-1,37,121,96,38,33,23,42,85
20,0,2.225452662,20230217141138446,None,-1,37,121,96,38,33,23,42,85
21,0,2.23544693,20230217141138456,None,-1,38,140,88,45,35,22,41,84
22,0,2.245458126,20230217141138466,None,-1,38,140,88,45,35,22,41,84
23,0,2.255451679,20230217141138476,None,-1,36,129,88,45,35,22,42,84
24,0,2.265459061,20230217141138486,None,-1,36,129,88,45,35,22,42,84
25,0,2.275466442,20230217141138496,None,-1,34,124,103,45,32,20,39,54
26,0,2.285473108,20230217141138506,None,-1,30,123,109,42,31,21,40,83
27,0,2.295452595,20230217141138516,None,-1,30,123,109,42,31,21,40,83
28,0,2.30545187,20230217141138526,None,-1,30,123,109,42,31,21,40,83
29,0,2.31545043,20230217141138536,None,-1,32,136,109,42,33,21,31,81
30,0,2.325445891,20230217141138546,None,-1,32,136,109,42,33,21,31,81
31,0,2.335478544,20230217141138556,None,-1,28,133,113,40,36,23,38,84
32,0,2.345458746,20230217141138566,None,-1,30,161,123,40,35,23,38,84
33,0,2.355507612,20230217141138576,None,-1,30,161,123,40,35,23,38,84
34,0,2.365457773,20230217141138586,None,-1,30,161,123,40,35,23,38,84
35,0,2.375474692,20230217141138596,None,-1,31,169,109,41,35,23,38,85
36,0,2.385467529,20230217141138606,None,-1,31,169,109,41,35,23,38,85
37,0,2.395467997,20230217141138616,None,-1,33,175,109,42,33,21,34,46
38,0,2.405459166,20230217141138626,None,-1,30,169,104,38,33,22,34,62
39,0,2.415454149,20230217141138636,None,-1,30,169,104,38,33,22,34,62
40,0,2.425463438,20230217141138646,None,-1,30,169,104,38,33,22,34,62
41,0,2.435463429,20230217141138656,None,-1,39,167,116,42,32,19,30,83
