idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
5700,0,59.025446653,20230217141235246,None,-1,51,192,224,85,128,37,40,54
5701,0,59.035446167,20230217141235256,None,-1,51,192,224,85,128,37,40,54
5702,0,59.045452356,20230217141235266,None,-1,60,184,221,80,127,35,41,55
5703,0,59.055445671,20230217141235276,None,-1,60,184,221,80,127,35,41,55
5704,0,59.065444231,20230217141235286,None,-1,48,166,215,98,128,43,29,54
5705,0,59.075470686,20230217141235296,None,-1,48,166,215,98,128,43,29,54
5706,0,59.085484743,20230217141235306,None,-1,50,160,192,92,102,44,27,53
5707,0,59.095444918,20230217141235316,None,-1,50,160,192,92,102,44,27,53
5708,0,59.105449915,20230217141235326,None,-1,50,167,162,100,101,44,27,57
5709,0,59.115446329,20230217141235336,None,-1,50,167,162,100,101,44,27,57
5710,0,59.125442267,20230217141235346,None,-1,55,167,126,103,105,46,24,54
5711,0,59.135460377,20230217141235356,None,-1,55,167,126,103,105,46,24,54
5712,0,59.145456314,20230217141235366,None,-1,46,157,161,107,118,46,22,52
5713,0,59.155460358,20230217141235376,None,-1,46,157,161,107,118,46,22,52
5714,0,59.165444851,20230217141235386,None,-1,46,146,175,89,119,40,22,52
5715,0,59.17545557,20230217141235396,None,-1,46,146,175,89,119,40,22,52
5716,0,59.185515165,20230217141235406,None,-1,46,146,175,89,119,40,22,52
5717,0,59.195457459,20230217141235416,None,-1,41,133,172,105,123,49,34,54
5718,0,59.205485821,20230217141235426,None,-1,50,142,189,99,122,52,35,46
5719,0,59.215448141,20230217141235436,None,-1,50,142,189,99,122,52,35,46
5720,0,59.225461006,20230217141235446,None,-1,50,164,182,98,125,53,38,54
5721,0,59.235444069,20230217141235456,None,-1,50,164,182,98,125,53,38,54
5722,0,59.245464087,20230217141235466,None,-1,50,191,175,103,130,58,38,54
5723,0,59.255449772,20230217141235476,None,-1,50,191,175,103,130,58,38,54
5724,0,59.265447855,20230217141235486,None,-1,50,187,172,102,121,58,38,55
5725,0,59.275455713,20230217141235496,None,-1,50,187,172,102,121,58,38,55
5726,0,59.285453081,20230217141235506,None,-1,53,202,173,82,114,45,27,54
5727,0,59.295492411,20230217141235516,None,-1,53,202,173,82,114,45,27,54
5728,0,59.305444956,20230217141235526,None,-1,47,204,160,71,98,41,26,58
5729,0,59.315434218,20230217141235536,None,-1,47,204,160,71,98,41,26,58
5730,0,59.325453282,20230217141235546,None,-1,43,193,195,69,87,37,26,63
5731,0,59.335444927,20230217141235556,None,-1,43,193,195,69,87,37,26,63
5732,0,59.345454216,20230217141235566,None,-1,44,169,187,49,59,27,26,63
5733,0,59.355440378,20230217141235576,None,-1,44,169,187,49,59,27,26,63
5734,0,59.365455866,20230217141235586,None,-1,48,166,178,65,80,24,26,63
5735,0,59.37545228,20230217141235596,None,-1,48,166,178,65,80,24,26,63
5736,0,59.3854599,20230217141235606,None,-1,47,178,169,77,88,36,27,63
5737,0,59.395488024,20230217141235616,None,-1,47,178,169,77,88,36,27,63
5738,0,59.40544796,20230217141235626,None,-1,47,178,169,77,88,36,27,63
5739,0,59.415450096,20230217141235636,None,-1,45,170,159,85,93,39,39,78
5740,0,59.425469637,20230217141235646,None,-1,45,163,111,81,95,40,43,61
5741,0,59.435464144,20230217141235656,None,-1,45,163,111,81,95,40,43,61
5742,0,59.445452929,20230217141235666,None,-1,53,175,92,81,96,41,44,62
5743,0,59.455451965,20230217141235676,None,-1,53,175,92,81,96,41,44,62
5744,0,59.465458155,20230217141235686,None,-1,53,205,118,68,76,43,45,62
5745,0,59.475455046,20230217141235696,None,-1,53,205,118,68,76,43,45,62
5746,0,59.485448837,20230217141235706,None,-1,53,205,118,68,76,43,45,62
5747,0,59.49546051,20230217141235716,None,-1,50,186,125,55,69,36,45,61
5748,0,59.505449534,20230217141235726,None,-1,48,184,132,40,64,33,37,67
5749,0,59.515460491,20230217141235736,None,-1,48,184,132,40,64,33,37,67
5750,0,59.525465489,20230217141235746,None,-1,50,184,137,52,58,32,32,68
5751,0,59.53546238,20230217141235756,None,-1,50,184,137,52,58,32,32,68
5752,0,59.545462847,20230217141235766,None,-1,56,173,139,72,60,32,31,68
5753,0,59.555463791,20230217141235776,None,-1,56,173,139,72,60,32,31,68
5754,0,59.565464258,20230217141235786,None,-1,55,162,164,75,74,42,31,69
5755,0,59.575469256,20230217141235796,None,-1,55,162,164,75,74,42,31,69
5756,0,59.585452556999996,20230217141235806,None,-1,59,152,166,93,105,42,33,69
5757,0,59.595443487,20230217141235816,None,-1,59,152,166,93,105,42,33,69
5758,0,59.605453491,20230217141235826,None,-1,66,155,166,95,107,42,32,56
5759,0,59.615444183,20230217141235836,None,-1,66,155,166,95,107,42,32,56
5760,0,59.625435114,20230217141235846,None,-1,68,154,162,93,109,43,31,55
5761,0,59.635472536,20230217141235856,None,-1,68,154,162,93,109,43,31,55
5762,0,59.645460367,20230217141235866,None,-1,59,153,156,82,108,42,31,53
5763,0,59.655457735,20230217141235876,None,-1,59,153,156,82,108,42,31,53
5764,0,59.665461064,20230217141235886,None,-1,58,139,138,82,107,29,32,52
5765,0,59.675455094,20230217141235896,None,-1,58,139,138,82,107,29,32,52
5766,0,59.685466051,20230217141235906,None,-1,55,164,131,61,75,28,29,55
5767,0,59.695444822,20230217141235916,None,-1,55,164,131,61,75,28,29,55
5768,0,59.705460072,20230217141235926,None,-1,52,162,143,66,71,27,29,52
5769,0,59.715459824,20230217141235936,None,-1,52,162,143,66,71,27,29,52
5770,0,59.725477696,20230217141235946,None,-1,57,178,145,63,70,30,38,54
5771,0,59.735445738,20230217141235956,None,-1,57,178,145,63,70,30,38,54
5772,0,59.745453835,20230217141235966,None,-1,55,204,173,62,68,31,39,55
5773,0,59.755461216,20230217141235976,None,-1,55,204,173,62,68,31,39,55
5774,0,59.76543808,20230217141235986,None,-1,55,202,149,59,54,31,40,55
5775,0,59.775449038,20230217141235996,None,-1,55,202,149,59,54,31,40,55
5776,0,59.785446644,20230217141236006,None,-1,56,178,146,56,51,33,41,54
5777,0,59.79544425,20230217141236016,None,-1,56,178,146,56,51,33,41,54
5778,0,59.805452824,20230217141236026,None,-1,58,167,139,46,51,33,40,47
