idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
1900,2,21.025468588,20230217141157246,None,-1,48,180,242,166,176,138,44,223
1901,2,21.035494328,20230217141157256,None,-1,53,166,268,168,172,136,47,216
1902,2,21.045500279,20230217141157266,None,-1,53,166,268,168,172,136,47,216
1903,2,21.055448771,20230217141157276,None,-1,53,166,268,168,172,136,47,216
1904,2,21.065455675,20230217141157286,None,-1,57,175,284,165,174,124,47,225
1905,2,21.075458288,20230217141157296,None,-1,57,175,284,165,174,124,47,225
1906,2,21.085438728,20230217141157306,None,-1,56,211,294,195,177,98,50,217
1907,2,21.095451355,20230217141157316,None,-1,56,204,296,173,184,91,49,239
1908,2,21.10545373,20230217141157326,None,-1,56,204,296,173,184,91,49,239
1909,2,21.115452528,20230217141157336,None,-1,56,204,296,173,184,91,49,239
1910,2,21.125457764,20230217141157346,None,-1,53,187,279,177,171,88,49,245
1911,2,21.135454655,20230217141157356,None,-1,53,187,279,177,171,88,49,245
1912,2,21.145439863,20230217141157366,None,-1,48,187,279,195,194,111,49,212
1913,2,21.155436278,20230217141157376,None,-1,49,205,302,193,194,149,53,223
1914,2,21.165438175,20230217141157386,None,-1,49,205,302,193,194,149,53,223
1915,2,21.175477743,20230217141157396,None,-1,49,205,302,193,194,149,53,223
1916,2,21.18545866,20230217141157406,None,-1,49,205,302,193,194,149,53,223
1917,2,21.19545269,20230217141157416,None,-1,51,181,321,174,198,147,52,209
1918,2,21.205450058,20230217141157426,None,-1,50,175,338,185,201,148,56,230
1919,2,21.215451717,20230217141157436,None,-1,54,159,358,188,200,148,57,252
1920,2,21.225458145,20230217141157446,None,-1,54,159,358,188,200,148,57,252
1921,2,21.235441208,20230217141157456,None,-1,54,159,358,188,200,148,57,252
1922,2,21.245450974,20230217141157466,None,-1,62,169,356,172,191,152,52,239
1923,2,21.255443573,20230217141157476,None,-1,62,169,356,172,191,152,52,239
1924,2,21.265452623,20230217141157486,None,-1,59,176,371,176,192,115,47,220
1925,2,21.275453329,20230217141157496,None,-1,59,193,339,188,202,113,57,224
1926,2,21.285443068,20230217141157506,None,-1,59,193,339,188,202,113,57,224
1927,2,21.295446873,20230217141157516,None,-1,59,193,339,188,202,113,57,224
1928,2,21.305439711,20230217141157526,None,-1,69,208,396,200,202,110,52,195
1929,2,21.315443277,20230217141157536,None,-1,69,208,396,200,202,110,52,195
1930,2,21.325434685,20230217141157546,None,-1,69,233,382,201,245,134,55,207
1931,2,21.335435152,20230217141157556,None,-1,69,233,382,201,245,134,55,207
1932,2,21.345461607,20230217141157566,None,-1,64,235,392,210,236,124,57,204
1933,2,21.355454683,20230217141157576,None,-1,64,235,392,210,236,124,57,204
1934,2,21.365444422,20230217141157586,None,-1,67,252,357,208,244,139,59,248
1935,2,21.375436545,20230217141157596,None,-1,67,252,357,208,244,139,59,248
1936,2,21.38544631,20230217141157606,None,-1,67,236,407,246,249,141,68,248
1937,2,21.395436764,20230217141157616,None,-1,68,246,374,231,259,183,69,227
1938,2,21.40543747,20230217141157626,None,-1,68,246,374,231,259,183,69,227
1939,2,21.415429354,20230217141157636,None,-1,68,246,374,231,259,183,69,227
1940,2,21.425449133,20230217141157646,None,-1,72,241,391,231,246,183,68,252
1941,2,21.435516834,20230217141157656,None,-1,72,241,391,231,246,183,68,252
1942,2,21.44545722,20230217141157666,None,-1,75,237,384,224,259,192,70,264
1943,2,21.455479384,20230217141157676,None,-1,75,237,384,224,259,192,70,264
1944,2,21.465451717,20230217141157686,None,-1,75,237,384,224,259,192,70,264
1945,2,21.475455046,20230217141157696,None,-1,73,213,442,220,253,182,70,229
1946,2,21.485458613,20230217141157706,None,-1,111,352,481,186,268,182,77,253
1947,2,21.495456219,20230217141157716,None,-1,111,352,481,186,268,182,77,253
1948,2,21.505450487,20230217141157726,None,-1,128,410,471,191,254,194,79,263
1949,2,21.515466929,20230217141157736,None,-1,128,410,471,191,254,194,79,263
1950,2,21.525444985,20230217141157746,None,-1,133,409,472,191,234,199,110,207
1951,2,21.535447836,20230217141157756,None,-1,133,409,472,191,234,199,110,207
1952,2,21.545442104,20230217141157766,None,-1,136,428,506,184,258,191,119,238
1953,2,21.555500746,20230217141157776,None,-1,136,428,506,184,258,191,119,238
1954,2,21.565463305,20230217141157786,None,-1,147,455,482,217,259,199,127,251
1955,2,21.575446367,20230217141157796,None,-1,147,455,482,217,259,199,127,251
1956,2,21.585478306,20230217141157806,None,-1,138,428,465,227,235,195,118,230
1957,2,21.595442772,20230217141157816,None,-1,138,428,465,227,235,195,118,230
1958,2,21.605448723,20230217141157826,None,-1,126,389,516,236,246,161,117,220
1959,2,21.615437746,20230217141157836,None,-1,126,389,516,236,246,161,117,220
1960,2,21.625443459,20230217141157846,None,-1,135,409,546,232,243,148,102,259
1961,2,21.635446072,20230217141157856,None,-1,135,409,546,232,243,148,102,259
1962,2,21.645461559,20230217141157866,None,-1,131,402,563,256,199,165,103,217
1963,2,21.655455589,20230217141157876,None,-1,131,402,563,256,199,165,103,217
1964,2,21.66544795,20230217141157886,None,-1,131,402,563,256,199,165,103,217
1965,2,21.675474644,20230217141157896,None,-1,124,380,586,263,218,163,99,243
1966,2,21.685449124,20230217141157906,None,-1,120,382,551,279,253,186,98,276
1967,2,21.695443154,20230217141157916,None,-1,120,382,551,279,253,186,98,276
1968,2,21.705450058,20230217141157926,None,-1,125,374,517,299,268,184,110,292
1969,2,21.715461254,20230217141157936,None,-1,125,374,517,299,268,184,110,292
1970,2,21.725481749,20230217141157946,None,-1,133,365,503,316,282,189,97,263
1971,2,21.735494137,20230217141157956,None,-1,133,365,503,316,282,189,97,263
1972,2,21.745466232,20230217141157966,None,-1,146,419,444,329,341,187,115,289
1973,2,21.755491495,20230217141157976,None,-1,146,419,444,329,341,187,115,289
1974,2,21.76550746,20230217141157986,None,-1,155,509,459,327,328,188,148,306
1975,2,21.775474548,20230217141157996,None,-1,155,509,459,327,328,188,148,306
1976,2,21.785485506,20230217141158006,None,-1,188,505,573,363,319,177,152,279
1977,2,21.795490742,20230217141158016,None,-1,188,505,573,363,319,177,152,279
1978,2,21.805473089,20230217141158026,None,-1,188,505,573,363,319,177,152,279
1979,2,21.815472365,20230217141158036,None,-1,186,569,590,345,298,161,145,267
1980,2,21.825492144000002,20230217141158046,None,-1,176,576,689,341,305,148,162,280
1981,2,21.835473776,20230217141158056,None,-1,176,576,689,341,305,148,162,280
1982,2,21.845464468,20230217141158066,None,-1,185,566,692,327,255,127,162,257
1983,2,21.855470419,20230217141158076,None,-1,185,566,692,327,255,127,162,257
1984,2,21.865485191,20230217141158086,None,-1,187,522,705,331,270,134,130,206
1985,2,21.87544775,20230217141158096,None,-1,187,522,705,331,270,134,130,206
1986,2,21.885456562,20230217141158106,None,-1,192,575,711,268,251,125,131,242
1987,2,21.895444632,20230217141158116,None,-1,192,575,711,268,251,125,131,242
1988,2,21.905447483,20230217141158126,None,-1,212,545,746,279,271,156,140,263
