idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4200,0,44.025457144,20230217141220246,None,-1,35,75,105,56,54,37,25,39
4201,0,44.035443545,20230217141220256,None,-1,35,75,105,56,54,37,25,39
4202,0,44.045460701,20230217141220266,None,-1,34,66,109,55,57,39,24,40
4203,0,44.055466414,20230217141220276,None,-1,34,66,109,55,57,39,24,40
4204,0,44.065454006,20230217141220286,None,-1,38,72,116,49,57,36,24,39
4205,0,44.075474978,20230217141220296,None,-1,38,72,116,49,57,36,24,39
4206,0,44.085513353,20230217141220306,None,-1,37,73,109,49,51,38,26,37
4207,0,44.09551692,20230217141220316,None,-1,37,73,109,49,51,38,26,37
4208,0,44.105516434,20230217141220326,None,-1,38,77,109,46,57,37,28,38
4209,0,44.115474701,20230217141220336,None,-1,38,77,109,46,57,37,28,38
4210,0,44.125515223,20230217141220346,None,-1,38,80,99,46,57,38,27,39
4211,0,44.135478735,20230217141220356,None,-1,38,80,99,46,57,38,27,39
4212,0,44.145516157,20230217141220366,None,-1,37,81,92,51,58,38,27,38
4213,0,44.155482769,20230217141220376,None,-1,37,81,92,51,58,38,27,38
4214,0,44.165508032,20230217141220386,None,-1,31,71,89,51,58,38,29,39
4215,0,44.175532341,20230217141220396,None,-1,31,71,89,51,58,38,29,39
4216,0,44.185477734,20230217141220406,None,-1,29,70,117,49,53,31,27,39
4217,0,44.195466519,20230217141220416,None,-1,29,70,117,49,53,31,27,39
4218,0,44.205477715,20230217141220426,None,-1,31,78,115,51,52,39,26,30
4219,0,44.215505839,20230217141220436,None,-1,31,78,115,51,52,39,26,30
4220,0,44.22548008,20230217141220446,None,-1,35,72,112,47,52,41,28,32
4221,0,44.235512734,20230217141220456,None,-1,35,72,112,47,52,41,28,32
4222,0,44.245478869,20230217141220466,None,-1,37,73,110,47,51,40,28,38
4223,0,44.25552249,20230217141220476,None,-1,37,73,110,47,51,40,28,38
4224,0,44.265530825,20230217141220486,None,-1,42,83,107,52,53,40,26,36
4225,0,44.275469542,20230217141220496,None,-1,42,83,107,52,53,40,26,36
4226,0,44.285496712,20230217141220506,None,-1,43,83,80,56,58,39,25,37
4227,1,44.295476675,20230217141220516,None,-1,43,83,80,56,58,39,25,37
4228,1,44.305464745,20230217141220526,None,-1,40,68,86,56,56,29,24,37
4229,1,44.315471888,20230217141220536,None,-1,40,68,86,56,56,29,24,37
4230,1,44.325471163,20230217141220546,None,-1,38,68,84,62,62,40,27,37
4231,1,44.335460186,20230217141220556,None,-1,38,68,84,62,62,40,27,37
4232,1,44.345454931,20230217141220566,None,-1,38,77,94,61,77,47,28,38
4233,1,44.355443716,20230217141220576,None,-1,38,77,94,61,77,47,28,38
4234,1,44.365432978,20230217141220586,None,-1,35,67,105,57,78,46,28,40
4235,1,44.37545538,20230217141220596,None,-1,35,67,105,57,78,46,28,40
4236,1,44.385443926,20230217141220606,None,-1,38,70,116,62,78,45,29,37
4237,1,44.395463944,20230217141220616,None,-1,38,70,116,62,78,45,29,37
4238,1,44.405455113,20230217141220626,None,-1,42,70,124,59,76,46,30,43
4239,1,44.415487051,20230217141220636,None,-1,42,70,124,59,76,46,30,43
4240,1,44.425494909,20230217141220646,None,-1,41,72,130,54,72,32,25,40
4241,1,44.435455561,20230217141220656,None,-1,41,72,130,54,72,32,25,40
4242,1,44.44546485,20230217141220666,None,-1,41,64,125,51,62,32,24,37
4243,1,44.455448389,20230217141220676,None,-1,41,64,125,51,62,32,24,37
4244,1,44.465467215,20230217141220686,None,-1,40,74,123,50,60,35,20,37
4245,1,44.475464821,20230217141220696,None,-1,40,74,123,50,60,35,20,37
4246,1,44.485468149,20230217141220706,None,-1,36,74,102,43,58,36,19,41
4247,1,44.495479584,20230217141220716,None,-1,36,74,102,43,58,36,19,41
4248,1,44.505459309,20230217141220726,None,-1,33,75,90,55,64,35,18,39
4249,1,44.51548028,20230217141220736,None,-1,33,75,90,55,64,35,18,39
4250,1,44.525461674,20230217141220746,None,-1,37,72,93,55,66,37,19,41
4251,1,44.53545022,20230217141220756,None,-1,37,72,93,55,66,37,19,41
4252,1,44.545454741,20230217141220766,None,-1,36,67,121,53,60,30,18,38
4253,1,44.55546546,20230217141220776,None,-1,36,67,121,53,60,30,18,38
4254,1,44.565503836,20230217141220786,None,-1,37,64,113,53,60,41,18,38
4255,1,44.575483799,20230217141220796,None,-1,37,64,113,53,60,41,18,38
4256,1,44.585489988,20230217141220806,None,-1,36,57,113,50,59,43,19,38
4257,1,44.595485687,20230217141220816,None,-1,36,57,113,50,59,43,19,38
4258,1,44.605470419,20230217141220826,None,-1,34,67,112,42,51,45,21,35
4259,1,44.615478754,20230217141220836,None,-1,34,67,112,42,51,45,21,35
4260,1,44.625473261,20230217141220846,None,-1,31,68,131,45,47,45,23,36
4261,1,44.635463238,20230217141220856,None,-1,31,68,131,45,47,45,23,36
4262,1,44.645463705,20230217141220866,None,-1,31,68,131,45,47,45,23,36
4263,1,44.655469656,20230217141220876,None,-1,29,68,113,50,46,43,23,37
4264,1,44.665458202,20230217141220886,None,-1,33,68,120,51,45,36,28,37
4265,1,44.675464869,20230217141220896,None,-1,33,68,120,51,45,36,28,37
4266,1,44.68547225,20230217141220906,None,-1,31,68,124,58,43,38,28,35
4267,1,44.695460081,20230217141220916,None,-1,31,68,124,58,43,38,28,35
4268,1,44.705445051,20230217141220926,None,-1,36,63,149,54,44,37,27,43
4269,1,44.71544385,20230217141220936,None,-1,36,63,149,54,44,37,27,43
4270,1,44.725465059,20230217141220946,None,-1,45,69,129,50,45,36,26,42
4271,1,44.735511541,20230217141220956,None,-1,45,69,129,50,45,36,26,42
4272,1,44.745476484,20230217141220966,None,-1,50,90,131,54,44,37,26,42
4273,1,44.75545454,20230217141220976,None,-1,50,90,131,54,44,37,26,42
4274,1,44.765519858,20230217141220986,None,-1,46,92,124,68,55,31,22,43
4275,1,44.775482178,20230217141220996,None,-1,46,92,124,68,55,31,22,43
4276,1,44.785466194,20230217141221006,None,-1,50,96,130,62,55,26,25,41
4277,1,44.795512438,20230217141221016,None,-1,50,96,130,62,55,26,25,41
4278,1,44.805481911,20230217141221026,None,-1,48,98,113,61,54,24,25,34
4279,1,44.815465689,20230217141221036,None,-1,48,98,113,61,54,24,25,34
4280,1,44.825444698,20230217141221046,None,-1,44,94,122,61,55,29,24,42
4281,1,44.835475206,20230217141221056,None,-1,44,94,122,61,55,29,24,42
4282,1,44.84549737,20230217141221066,None,-1,48,75,134,61,55,32,25,49
4283,1,44.855460167,20230217141221076,None,-1,48,75,134,61,55,32,25,49
4284,1,44.86545229,20230217141221086,None,-1,50,63,143,56,53,33,24,48
4285,1,44.875444412,20230217141221096,None,-1,50,63,143,56,53,33,24,48
4286,1,44.885446549,20230217141221106,None,-1,45,56,136,58,60,34,27,51
4287,1,44.895438433,20230217141221116,None,-1,45,56,136,58,60,34,27,51
4288,1,44.905437708,20230217141221126,None,-1,46,54,126,59,58,35,30,50
4289,1,44.91545248,20230217141221136,None,-1,46,54,126,59,58,35,30,50
4290,1,44.925466061,20230217141221146,None,-1,42,61,113,61,57,31,29,41
4291,1,44.935452938,20230217141221156,None,-1,42,61,113,61,57,31,29,41
4292,1,44.94545579,20230217141221166,None,-1,42,61,113,61,57,31,29,41
4293,1,44.955452442,20230217141221176,None,-1,34,78,88,55,53,28,29,39
4294,1,44.965458393,20230217141221186,None,-1,36,83,79,49,50,27,30,37
4295,1,44.975505114,20230217141221196,None,-1,36,83,79,49,50,27,30,37
4296,1,44.985505104,20230217141221206,None,-1,39,88,93,44,48,33,25,39
4297,1,44.995513916,20230217141221216,None,-1,39,88,93,44,48,33,25,39
4298,1,45.00551033,20230217141221226,None,-1,36,82,95,47,56,34,24,36
4299,1,45.015481711,20230217141221236,None,-1,36,82,95,47,56,34,24,36
